timestamp,temperature,air_pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_degrees,owm_weather_id,owm_weather_main,owm_weather_description,owm_weather_icon
1745131358,18.06,1019,86,15.68,0,10000,1.54,240,800,Clear,clear sky,01n
1745134958,17.95,1021,87,15.76,0,10000,0.0,0,800,Clear,clear sky,01n
1745138558,19.91,1021,77,15.76,0,10000,2.1,310,800,Clear,clear sky,01n
1745142158,21.16,1021,68,15.03,0,10000,3.6,310,800,Clear,clear sky,01n
1745145758,20.71,1024,71,15.27,0,10000,2.06,290,800,Clear,clear sky,01d
1745149358,20.35,1024,71,14.92,0,10000,3.1,310,800,Clear,clear sky,01d
1745152958,21.1,1024,60,13.04,0,10000,4.12,300,800,Clear,clear sky,01d
1745156558,21.1,1025,56,11.99,0,10000,3.6,340,800,Clear,clear sky,01d
1745160158,22.1,1025,53,12.08,0,10000,5.14,10,800,Clear,clear sky,01d
1745163758,22.1,1025,49,10.9,0,10000,3.6,350,800,Clear,clear sky,01d
1745167358,22.11,1025,49,10.91,0,10000,4.63,340,800,Clear,clear sky,01d
1745170958,22.94,1025,48,11.36,0,10000,5.14,330,800,Clear,clear sky,01d
1745174558,22.76,1025,45,10.22,0,10000,3.6,10,800,Clear,clear sky,01d
1745178158,23.11,1024,40,8.79,0,10000,2.57,360,800,Clear,clear sky,01d
1745181758,22.72,1024,42,9.16,0,10000,3.09,50,800,Clear,clear sky,01d
1745185358,21.17,1024,44,8.45,0,10000,3.6,70,800,Clear,clear sky,01d
1745188958,20.13,1026,40,6.12,0,10000,2.57,90,800,Clear,clear sky,01d
1745192558,18.1,1026,42,5.0,0,10000,2.6,100,800,Clear,clear sky,01d
1745196158,16.83,1026,48,5.77,0,10000,2.1,120,800,Clear,clear sky,01n
1745199758,15.63,1025,57,7.15,0,10000,0.0,0,800,Clear,clear sky,01n
1745203358,14.21,1025,62,7.04,0,10000,1.54,90,800,Clear,clear sky,01n
1745206958,13.58,1025,68,7.79,40,10000,0.0,0,802,Clouds,scattered clouds,03n
1745210558,13.46,1025,73,8.72,100,10000,0.0,0,804,Clouds,overcast clouds,04n
1745214158,14.1,1025,75,9.74,100,10000,2.06,120,804,Clouds,overcast clouds,04n
1745217758,14.28,1025,73,9.51,100,10000,2.06,140,804,Clouds,overcast clouds,04n
1745221358,14.1,1024,70,8.72,100,10000,0.45,5,804,Clouds,overcast clouds,04n
1745224958,13.84,1024,67,7.82,100,10000,0.45,5,804,Clouds,overcast clouds,04n
1745228558,13.59,1024,65,7.14,100,10000,1.54,120,804,Clouds,overcast clouds,04n
1745232158,12.93,1024,66,6.74,100,10000,1.54,90,804,Clouds,overcast clouds,04d
1745235758,14.0,1024,63,7.08,100,10000,2.06,100,804,Clouds,overcast clouds,04d
1745239358,15.37,1024,54,6.12,100,10000,2.1,120,804,Clouds,overcast clouds,04d
1745242958,16.23,1023,50,5.81,100,10000,3.1,130,804,Clouds,overcast clouds,04d
